"School","District","Enrollment","Students enrolled in the school - active student cases","Students enrolled in the school - % of students testing positive","School-associated cases - active student cases","School-Associated cases - all cases (last 14 days)","School-associated cases - all cases 2021-2022 school year","School-associated cases % of students testing positive"
"Copperview School","Canyons District","388","0","0%","0","0","16","0%"
"Magna School","Granite District","555","0","0%","0","<5","33","0%"
"Lake View School","Box Elder District","540","0","0%","0","0","56","0%"
"Davinci Academy - Kaysville","Davis County - Charter","Enrollment data not available","0","0%","0","0","7","0%"
"Telos Academy","Utah County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Water Canyon High","Washington District","206","0","0%","0","0","<5","0%"
"Park School","Nebo District","515","0","0%","0","0","18","0%"
"Scholar Academy","Tooele County - Charter/Private","674","0","0%","0","0","15","0%"
"Jordan Academy for Technology and Careers - North/ Southpointe Adult High","Jordan District","Enrollment data not available","0","0%","0","0","<5","0%"
"Settlement Canyon School","Tooele District","438","0","0%","0","0","5","0%"
"Centennial School","Duchesne District","526","0","0%","0","0","19","0%"
"Valley View School","Alpine District","402","0","0%","0","0","14","0%"
"Hurricane School","Washington District","594","0","0%","0","0","14","0%"
"Liberty Hills Academy","Davis County - Private","Enrollment data not available","0","0%","0","0","5","0%"
"Two Rivers High","Weber District","150","0","0%","0","0","28","0%"
"Willow Canyon School","Canyons District","399","0","0%","0","<5","30","0%"
"Granite School","Canyons District","384","0","0%","0","0","8","0%"
"Sorenson's Ranch School","Central Utah - Charter/Private","Enrollment data not available","0","0%","0","0","<5","0%"
"North Summit School","North Summit District","356","0","0%","0","0","26","0%"
"North Summit High","North Summit District","327","0","0%","0","0","16","0%"
"North Summit Middle","North Summit District","328","0","0%","0","0","16","0%"
"Lapoint School","Uintah District","157","0","0%","0","0","8","0%"
"Gunnison Valley Middle","South Sanpete District","256","0","0%","0","0","12","0%"
"Valley High","Kane District","140","0","0%","0","0","<5","0%"
"Wayne Middle","Wayne District","87","0","0%","0","0","6","0%"
"North Rich School/Rich Middle School","Rich District","227","0","0%","0","0","17","0%"
"Altamont High","Duchesne District","250","0","0%","0","0","6","0%"
"Spring City School","North Sanpete District","131","0","0%","0","0","<5","0%"
"Milford High","Beaver District","220","0","0%","0","0","<5","0%"
"Clearfield Job Corps","Davis County - Charter","Enrollment data not available","0","0%","0","<5","<5","0%"
"Great Basin High","Davis County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Eureka School","Tintic District","95","0","0%","0","0","8","0%"
"Monticello School","San Juan District","278","0","0%","0","0","13","0%"
"Minersville School","Beaver District","30","0","0%","0","0","<5","0%"
"Huntington School","Emery District","237","0","0%","0","0","5","0%"
"Wayne High","Wayne District","135","0","0%","0","0","13","0%"
"Cleveland School","Emery District","133","0","0%","0","0","<5","0%"
"Neola School","Duchesne District","149","0","0%","0","0","14","0%"
"Escalante High","Garfield District","76","0","0%","0","0","<5","0%"
"Escalante School","Garfield District","82","0","0%","0","0","<5","0%"
"Manila School","Daggett District","83","0","0%","0","0","<5","0%"
"Manila High","Daggett District","114","0","0%","0","0","<5","0%"
"South Park Academy","Canyons District","1100","0","0%","0","0","<5","0%"
"Canyon View Middle School","Emery District","207","0","0%","0","0","15","0%"
"Rich High","Rich District","158","0","0%","0","0","6","0%"
"Moroni School","North Sanpete District","320","0","0%","0","0","13","0%"
"Bryce Valley School","Garfield District","137","0","0%","0","0","5","0%"
"Parowan High","Iron District","347","0","0%","0","0","7","0%"
"Logan River Academy","Bear River - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"La Sal School","San Juan District","8","0","0%","0","0","<5","0%"
"Gunnison Valley School","South Sanpete District","475","0","0%","0","0","20","0%"
"Panguitch School","Garfield District","219","0","0%","0","0","7","0%"
"Panguitch High","Garfield District","156","0","0%","0","0","7","0%"
"Bruin Point School","Carbon District","92","0","0%","0","0","<5","0%"
"Altamont School","Duchesne District","330","0","0%","0","0","12","0%"
"Wellington School","Carbon District","198","0","0%","0","0","13","0%"
"Big Water School","Kane District","36","0","0%","0","0","<5","0%"
"Green River High","Emery District","78","0","0%","0","0","<5","0%"
"Enterprise School","Washington District","413","0","0%","0","0","<5","0%"
"Enterprise High","Washington District","501","0","0%","0","0","<5","0%"
"Tabiona High","Duchesne District","184","0","0%","0","0","<5","0%"
"Springdale School","Washington District","48","0","0%","0","0","<5","0%"
"Castle Dale School","Emery District","163","0","0%","0","0","11","0%"
"Wendover High","Tooele District","178","0","0%","0","0","<5","0%"
"South Rich School","Rich District","113","0","0%","0","0","<5","0%"
"Belknap School","Beaver District","457","0","0%","0","0","<5","0%"
"Monticello High","San Juan District","263","0","0%","0","0","12","0%"
"Stansbury Academy","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Bryce Valley High","Garfield District","141","0","0%","0","0","<5","0%"
"Ferron School","Emery District","190","0","0%","0","0","<5","0%"
"Fielding School","Box Elder District","444","0","0%","0","0","32","0%"
"Con Amore School","Duchesne District","92","0","0%","0","0","<5","0%"
